slope,disp,mutsd,pert_treat,patch_sd,ac,draw,batch,rep,base_n,base_usd,base_xsd,base_xmean,trough_n,trough_t,trough_usd,trough_xsd,trough_xmean,peak_n,peak_t,final_n,final_t,final_usd,final_xsd,final_xmean,final_mal,n_steps,survived
0.8,1.5,0,10,1,2,1,1,6,1547.0,24.0925,30.0765,49.3151,3.0,290.0,37.8569,45.4501,56.265,3.0,290.0,3.0,290.0,37.8569,45.4501,56.265,0.682056,29,0
0.8,1.5,0,10,1,2,1,1,7,1541.0,23.49,29.2782,48.88535,19.0,290.0,13.8444,13.3553,78.513,202.0,570.0,131.0,910.0,8.55924e-14,2.23086,81.624,10.1768,91,1
0.8,1.5,0,10,1,2,1,1,8,1560.0,24.1232,30.16215,48.53935,4.0,290.0,17.5647,21.0298,75.4539,4.0,290.0,4.0,290.0,17.5647,21.0298,75.4539,0.548172,29,0
0.8,1.5,0,10,1,2,1,1,9,1596.5,23.89895,29.8322,48.643,2.0,290.0,0.0,0.180407,86.9156,2.0,290.0,2.0,290.0,0.0,0.180407,86.9156,0.859503,29,0
0.8,1.5,0,10,1,2,2,1,0,1605.0,23.885150000000003,30.027,49.47305,0.0,300.0,nan,nan,nan,0.0,300.0,0.0,300.0,nan,nan,nan,nan,30,0
0.8,1.5,0,10,1,2,2,1,1,1592.0,23.5298,29.6817,50.36365,2.0,300.0,0.0,0.587429,76.9993,2.0,300.0,2.0,300.0,0.0,0.587429,76.9993,0.217243,30,0
0.8,1.5,0,10,1,2,2,1,2,1548.5,23.51395,29.635550000000002,49.8821,7.0,290.0,17.4393,15.8086,59.6373,173.0,770.0,141.0,910.0,2.28184e-13,2.35691,67.0519,10.2942,91,1
0.8,1.5,0,10,1,2,2,1,3,1581.5,23.008200000000002,29.011899999999997,50.7211,2.0,290.0,1.81254,1.94753,88.661,2.0,290.0,2.0,300.0,0.0,1.74606,88.8034,1.11338,30,0
0.8,1.5,0,10,1,2,2,1,4,1555.0,22.88095,28.9409,48.1409,2.0,290.0,0.0,1.25279,59.907,2.0,290.0,2.0,290.0,0.0,1.25279,59.907,0.538904,29,0
0.8,1.5,0,10,1,2,2,1,5,1631.5,23.51845,29.55395,48.98245,24.0,300.0,8.68375,8.87641,59.5301,189.0,700.0,109.0,910.0,8.5659e-14,2.16385,60.9933,9.59832,91,1
0.8,1.5,0,10,1,2,2,1,6,1619.5,23.68305,29.832949999999997,49.67095,17.0,280.0,23.8065,30.2218,46.262,17.0,280.0,17.0,280.0,23.8065,30.2218,46.262,0.467145,28,1
0.8,1.5,0,10,1,2,2,1,7,1612.0,23.7506,29.9326,50.345,31.0,290.0,9.98087,12.5186,51.4669,178.0,840.0,116.0,910.0,1.35589e-13,2.04548,51.4781,10.0404,91,1
0.8,1.5,0,10,1,2,2,1,8,1600.5,23.4234,29.5458,49.49785,35.0,290.0,9.13026,9.98486,59.1635,324.0,630.0,277.0,910.0,5.45892,7.66014,57.6019,10.0662,91,1
0.8,1.5,0,10,1,2,2,1,9,1621.0,23.81425,29.97625,49.01805,23.0,320.0,0.0,2.02547,33.2278,179.0,690.0,137.0,910.0,0.0,2.03718,34.0208,10.0328,91,1
0.8,1.5,0,10,1,4,0,1,0,1723.0,23.7181,29.6376,47.88385,6.0,290.0,11.6186,15.2958,42.3879,6.0,290.0,6.0,290.0,11.6186,15.2958,42.3879,0.597802,29,0
