slope,disp,mutsd,pert_treat,patch_sd,ac,draw,batch,pert_value,pert_name,rep,t,n,u_mean,u_sd,u_skew,u_kurt,mal_mean,mal_sd,mal_skew,mal_kurt,nn_mean,nn_sd,nn_skew,nn_kurt,x_mean,x_sd,x_skew,x_kurt
1.0,3,0.75,11,0,0,0,1,11,11,0,880,583,46.4659,22.9777,0.0309488,-1.25975,11.0025,1.874,-0.030698,0.00567647,1.74158,1.00062,0.824544,0.685875,35.4635,22.9065,0.0313893,-1.24216
1.0,3,0.75,11,0,0,0,1,11,11,0,890,595,47.8775,20.7342,0.0440104,-1.02491,10.9553,1.80682,0.0201128,-0.208427,1.65497,0.977743,1.01067,1.00413,36.9222,20.6895,0.042351,-1.02801
1.0,3,0.75,11,0,0,0,1,11,11,0,900,590,47.9174,22.7687,0.0400538,-1.17365,11.0894,1.80929,0.0500569,0.318543,1.67972,0.967296,1.21273,2.94617,36.828,22.7278,0.0523504,-1.1609
1.0,3,0.75,11,0,0,0,1,11,11,0,910,699,46.5658,22.5901,0.0536603,-1.09735,11.0519,1.9245,0.121904,0.0194673,1.59947,0.889929,0.971065,0.96036,35.5139,22.6184,0.0718656,-1.09747
1.0,3,0.75,11,0,0,0,1,0,11,1,10,699,49.1892,27.906,-0.0423101,-1.16935,0,0,nan,nan,1.91771,1.01017,0.563524,-0.159446,49.1892,27.906,-0.0423101,-1.16935
1.0,3,0.75,11,0,0,0,1,0,11,1,20,1099,47.313,29.8288,0.10387,-1.20924,1.41082,1.11892,0.999237,0.917613,1.47443,0.794711,0.903139,1.10657,47.272,29.9438,0.0995565,-1.20636
1.0,3,0.75,11,0,0,0,1,0,11,1,30,952,49.4782,31.7952,0.063377,-1.29851,1.48003,1.1133,0.990909,0.740902,1.52545,0.876892,1.0747,1.71315,49.4654,31.8991,0.0581316,-1.29989
1.0,3,0.75,11,0,0,0,1,0,11,1,40,940,49.5611,30.9588,-0.0462356,-1.19479,1.48709,1.04703,0.710614,0.108303,1.57828,0.913027,0.887708,1.47942,49.6234,30.7903,-0.041784,-1.18126
1.0,3,0.75,11,0,0,0,1,0,11,1,50,893,50.5986,31.6364,-0.0710617,-1.271,1.46204,1.0973,1.08047,1.55672,1.53009,0.906637,1.0711,1.57749,50.6252,31.734,-0.0712426,-1.27722
1.0,3,0.75,11,0,0,0,1,0,11,1,60,953,49.8921,31.5946,-0.0613905,-1.2988,1.50566,1.14795,1.00985,1.10155,1.52889,0.848618,0.873199,1.1393,49.9347,31.6181,-0.066201,-1.29225
1.0,3,0.75,11,0,0,0,1,0,11,1,70,872,48.4636,31.8744,0.00572119,-1.28371,1.50802,1.14521,1.03435,1.10965,1.60629,0.948876,0.973151,1.12657,48.4381,31.7205,0.00144355,-1.30121
1.0,3,0.75,11,0,0,0,1,0,11,1,80,888,47.8398,31.986,0.0967721,-1.29165,1.47002,1.09821,1.03543,1.03221,1.52432,0.929604,1.17961,2.4939,47.9141,31.9649,0.103972,-1.28609
1.0,3,0.75,11,0,0,0,1,0,11,1,90,831,46.3203,31.5676,0.0359221,-1.3679,1.51186,1.11547,1.08722,1.46049,1.62751,0.987833,1.14155,1.75125,46.3719,31.5871,0.0320963,-1.35923
1.0,3,0.75,11,0,0,0,1,0,11,1,100,870,48.8187,31.1391,-0.000169199,-1.23864,1.53063,1.16554,1.04475,0.991956,1.57621,0.892434,1.09838,1.72974,48.8228,31.121,0.000989223,-1.24103
1.0,3,0.75,11,0,0,0,1,0,11,1,110,921,47.8766,31.3679,-0.0033993,-1.28487,1.53262,1.07767,0.959944,1.0012,1.55365,0.884973,0.75432,0.729739,47.8916,31.4718,-0.00194657,-1.2805
1.0,3,0.75,11,0,0,0,1,0,11,1,120,851,49.361,31.382,-0.0324238,-1.2935,1.52799,1.12629,0.872643,0.345868,1.61066,0.912557,0.997329,1.99361,49.5029,31.3796,-0.0170349,-1.28756
